dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111309.3740814,1779111678.0961893,369.72210788726807,medium,low,3,N/A,5.03,4.31,4.29,4.36,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111410.7657945,1779111782.8006055,373.03481101989746,medium,low,3,N/A,5.03,4.68,4.66,4.68,"[1779111630.5958,1779111820.8320]",1779111630.5958,1779111820.8320,0.5392,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111531.0170987,1779112155.4634037,625.4463050365448,large,mid,3,N/A,5.03,2.88,2.86,2.92,"[1779111680.7837,1779112122.0714]",1779111680.7837,1779112122.0714,0.8281,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,5.03,3.40,3.38,3.42,"[1779111680.3774,1779112099.3364]",1779111680.3774,1779112099.3364,0.8037,NO
live_l2_unique_32k.csv,32000,3,trees,kd_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111138.5597348,1779111756.6439154,619.0841805934906,large,low,3,N/A,5.03,4.20,4.18,4.21,"[1779111157.1536,1779111321.0773]",1779111157.1536,1779111321.0773,0.4173,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,4.96,10.87,10.85,10.89,"[1779111327.3116,1779111342.5148]",1779111327.3116,1779111342.5148,0.2217,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111135.9972236,1779111260.9205031,125.92327952384949,small,low,3,N/A,4.96,4.80,4.79,4.82,"[1779111164.2005,1779111256.3267]",1779111164.2005,1779111256.3267,0.8516,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111172.0760076,1779111295.2021565,124.12614893913269,small,low,3,N/A,4.96,2.04,2.04,2.05,"[1779111164.8099,1779111305.8898]",1779111164.8099,1779111305.8898,0.9329,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111255.7485957,1779111625.0488963,370.30030059814453,medium,low,3,N/A,4.96,14.31,14.29,14.33,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111309.3740814,1779111678.0961893,369.72210788726807,medium,low,3,N/A,4.96,17.57,17.56,17.59,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111410.7657945,1779111782.8006055,373.03481101989746,medium,low,3,N/A,4.96,20.18,20.13,20.21,"[1779111630.5958,1779111820.8320]",1779111630.5958,1779111820.8320,0.5392,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111531.0170987,1779112155.4634037,625.4463050365448,large,mid,3,N/A,4.96,19.16,19.11,19.20,"[1779111680.7837,1779112122.0714]",1779111680.7837,1779112122.0714,0.8281,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,4.96,21.71,21.70,21.71,"[1779111680.3774,1779112099.3364]",1779111680.3774,1779112099.3364,0.8037,NO
live_l2_unique_32k.csv,32000,3,trees,rtree_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111138.5597348,1779111756.6439154,619.0841805934906,large,low,3,N/A,4.96,16.79,16.75,16.82,"[1779111157.1536,1779111321.0773]",1779111157.1536,1779111321.0773,0.4173,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,9.32,3.69,3.67,3.70,"[1779111327.3116,1779111342.5148]",1779111327.3116,1779111342.5148,0.2217,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111135.9972236,1779111260.9205031,125.92327952384949,small,low,3,N/A,9.32,1.18,1.18,1.19,"[1779111164.2005,1779111256.3267]",1779111164.2005,1779111256.3267,0.8516,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111172.0760076,1779111295.2021565,124.12614893913269,small,low,3,N/A,9.32,0.53,0.52,0.54,"[1779111164.8099,1779111305.8898]",1779111164.8099,1779111305.8898,0.9329,NO
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111255.7485957,1779111625.0488963,370.30030059814453,medium,low,3,N/A,9.32,5.35,5.29,5.38,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
