dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,trees,rstar_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111112.622143,1779111728.9563231,16000,large,low,3,N/A,9.32,9.28,9.16,9.49,"[1779111123.2159,1779111343.9367]",1779111123.2159,1779111343.9367,0.4087,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111990.1776173,1779112113.0551577,3200,small,high,3,N/A,6.50,1347.21,1345.42,1348.80,"[1779111951.7244,1779112113.0552]",1779111951.7244,1779112113.0552,0.8945,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111620.0176175,1779111743.1907456,3200,small,mid,3,N/A,6.50,1346.15,1342.76,1348.00,"[1779111643.3302,1779111739.3939]",1779111643.3302,1779111739.3939,0.8521,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111099.2467265,1779111222.8579738,3200,small,low,3,N/A,6.50,1344.43,1336.60,1355.25,"[1779111157.5598,1779111221.0606]",1779111157.5598,1779111221.0606,0.6294,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111515.000994,1779111892.5361588,9600,medium,mid,3,N/A,6.50,1346.05,1343.95,1347.99,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8011,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111341.7179496,1779111711.3937724,9600,medium,low,3,N/A,6.50,1340.73,1338.54,1343.20,"[1779111503.4697,1779111608.9395]",1779111503.4697,1779111608.9395,0.3933,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111543.7202594,1779111919.1924682,9600,medium,mid,3,N/A,6.50,1349.89,1346.80,1354.58,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8763,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111160.1848187,1779111779.784975,16000,large,low,3,N/A,6.50,1341.79,1341.05,1343.25,"[1779111148.7473,1779111343.5774]",1779111148.7473,1779111343.5774,0.4079,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111616.0332344,1779112240.6051123,16000,large,mid,3,N/A,6.50,1349.17,1345.31,1352.62,"[1779111677.9243,1779112241.6208]",1779111677.9243,1779112241.6208,0.9360,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.4,0.6,2,0,0,2,1779111112.622143,1779111728.9563231,16000,large,low,3,N/A,6.50,1348.46,1343.48,1355.08,"[1779111123.2159,1779111343.9367]",1779111123.2159,1779111343.9367,0.4796,NO
