time,color
69.606,MEDIUM
69.607,HARD
69.608,MEDIUM
69.609,HARD
69.611,MEDIUM
69.612,HARD
69.613,MEDIUM
69.614,HARD
69.615,MEDIUM
69.616,MEDIUM
69.617,MEDIUM
69.619,HARD
69.62,HARD
69.622,HARD
69.623,HARD
69.624,MEDIUM
69.628,HARD
69.63,MEDIUM
69.631,HARD
69.633,HARD
69.634,MEDIUM
69.635,MEDIUM
69.636,HARD
69.642,HARD
69.645,MEDIUM
69.647,HARD
69.648,HARD
69.649,MEDIUM
69.65,HARD
69.651,HARD
69.652,MEDIUM
69.655,MEDIUM
69.656,MEDIUM
69.658,HARD
69.659,MEDIUM
69.66,HARD
69.662,HARD
69.664,HARD
69.66499999999999,HARD
69.666,MEDIUM
69.667,HARD
69.67099999999999,MEDIUM
69.674,HARD
69.675,HARD
69.678,HARD
69.679,HARD
69.682,MEDIUM
69.685,MEDIUM
69.686,MEDIUM
69.687,HARD
69.688,HARD
69.691,HARD
69.69200000000001,HARD
69.693,MEDIUM
69.694,MEDIUM
69.695,MEDIUM
69.696,HARD
69.697,HARD
69.69800000000001,HARD
69.699,HARD
69.7,HARD
69.70400000000001,HARD
69.706,MEDIUM
69.707,HARD
69.708,HARD
69.709,MEDIUM
69.71000000000001,MEDIUM
69.711,HARD
69.713,MEDIUM
69.716,MEDIUM
69.717,HARD
69.719,HARD
69.721,HARD
69.723,HARD
69.724,MEDIUM
69.726,MEDIUM
69.727,HARD
69.729,HARD
69.73,HARD
69.731,MEDIUM
69.733,HARD
69.734,MEDIUM
69.735,MEDIUM
69.737,MEDIUM
69.74,HARD
69.741,HARD
69.742,HARD
69.743,HARD
69.746,MEDIUM
69.747,MEDIUM
69.749,HARD
69.75,HARD
69.751,HARD
69.752,MEDIUM
69.753,HARD
69.755,MEDIUM
69.756,HARD
69.757,HARD
69.758,HARD
69.76,MEDIUM
69.761,HARD
69.762,HARD
69.763,HARD
69.764,HARD
69.765,HARD
69.766,HARD
69.767,MEDIUM
69.768,HARD
69.769,HARD
69.77,MEDIUM
69.771,MEDIUM
69.772,HARD
69.775,MEDIUM
69.776,MEDIUM
69.778,HARD
69.779,HARD
69.78,HARD
69.781,MEDIUM
69.783,HARD
69.786,HARD
69.787,HARD
69.788,HARD
69.78999999999999,MEDIUM
69.791,HARD
69.793,HARD
69.795,MEDIUM
69.79599999999999,HARD
69.797,HARD
69.798,HARD
69.799,MEDIUM
69.801,HARD
69.80199999999999,HARD
69.804,HARD
69.805,HARD
69.806,HARD
69.809,HARD
69.81,MEDIUM
69.811,HARD
69.812,HARD
69.813,MEDIUM
69.814,HARD
69.815,MEDIUM
69.816,MEDIUM
69.82,HARD
69.821,HARD
69.822,MEDIUM
69.824,HARD
69.825,MEDIUM
69.826,MEDIUM
69.827,HARD
69.83,MEDIUM
69.832,HARD
69.833,HARD
69.834,MEDIUM
69.83500000000001,HARD
69.837,HARD
69.838,MEDIUM
69.84,HARD
69.841,HARD
69.842,HARD
69.843,HARD
69.844,MEDIUM
69.846,MEDIUM
69.848,HARD
69.849,MEDIUM
69.851,HARD
69.852,MEDIUM
69.853,HARD
69.855,MEDIUM
69.856,MEDIUM
